Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Jason Beebe,Oregon,Republican,no,Senate,BeebeForOregon,no
Christopher C. Christensen,Oregon,Republican,no,Senate,NA,no
Robert M. Fleming,Oregon,Republican,no,Senate,NA,no
Darin Harbick,Oregon,Republican,no,Senate,DarinHarbickOre,
Sam Palmer,Oregon,Republican,no,Senate,NA,no
Jo Rae Perkins,Oregon,Republican,no,Senate,PerkinsForUSSen,
Ibra A. Taher,Oregon,Republican,no,Senate,Ibra_Taher,no
John Fetterman,Pennsylvania,Democratic,no,Senate,JohnFetterman ; FettermanLt,yes
Malcolm Kenyatta,Pennsylvania,Democratic,no,Senate,malcolmkenyatta ; RepKenyatta,no
Alexandria Khalil,Pennsylvania,Democratic,no,Senate,NA,no
Conor Lamb,Pennsylvania,Democratic,no,Senate,ConorLambPA ; RepConorLamb,no
Kathy Barnette,Pennsylvania,Republican,no,Senate,Kathy4Truth,no
Jeff Bartos,Pennsylvania,Republican,no,Senate,jeff_bartos,no
George Bochetto,Pennsylvania,Republican,no,Senate,NA,no
Sean Gale,Pennsylvania,Republican,no,Senate,NA,no
David McCormick,Pennsylvania,Republican,no,Senate,DaveMcCormickPA,
Mehmet Oz,Pennsylvania,Republican,no,Senate,DrOz,
Carla Sands,Pennsylvania,Republican,no,Senate,CarlaHSands,no
Angela Geter,South Carolina,Democratic,no,Senate,geterforsenate,
Krystle Matthews,South Carolina,Democratic,no,Senate,kmforsenate,
Catherine Fleming Bruce,South Carolina,Democratic,no,Senate,tnovsa,
Tim Scott,South Carolina,Republican,yes,Senate,SenatorTimScott ; votetimscott,
Brian Bengs,South Dakota,Democratic,no,Senate,BrianBengs,
Mark Mowry,South Dakota,Republican,no,Senate,MowryforSenate,
Patrick Schubert,South Dakota,Republican,no,Senate,NA,
John Thune,South Dakota,Republican,yes,Senate,SenJohnThune,
Bruce Buffalo Dreamer Whalen,South Dakota,Republican,no,Senate,Whalen4USSenate,
TBD,Utah,Democratic,no,Senate,NA,
Becky Edwards,Utah,Republican,no,Senate,beckyforutah,
Ally Isom,Utah,Republican,no,Senate,allyforutah,
Mike Lee,Utah,Republican,yes,Senate,SenMikeLee,
Isaac Evans-Frantz,Vermont,Democratic,no,Senate,iefrantz,
Niki Thran,Vermont,Democratic,no,Senate,DrNikiThran,
Peter Welch,Vermont,Democratic,no,Senate,PeterWelch ; WelchForVT,
Gerald Malloy,Vermont,Republican,no,Senate,NA,
